% DOF: 3
% dt: 0.0200 s
% units: radians
% columns: time_s, joint_1, joint_2, joint_3
2.944678,-1.320217,0.500000,-0.300000
2.964712,-1.313346,0.500000,-0.300000
2.984747,-1.306461,0.500000,-0.300000
3.004781,-1.299556,0.500000,-0.300000
3.024815,-1.292639,0.500000,-0.300000
3.044849,-1.285714,0.500000,-0.300000
3.064883,-1.278790,0.500000,-0.300000
3.084917,-1.271872,0.500000,-0.300000
3.104951,-1.264968,0.500000,-0.300000
3.124986,-1.258082,0.500000,-0.300000
3.145020,-1.251212,0.500000,-0.300000
3.165054,-1.244344,0.500000,-0.300000
3.185088,-1.237465,0.500000,-0.300000
3.205122,-1.230561,0.500000,-0.300000
3.225156,-1.223621,0.500000,-0.300000
3.245191,-1.216630,0.500000,-0.300000
3.265225,-1.209578,0.500000,-0.300000
3.285259,-1.202489,0.500000,-0.300000
3.305293,-1.195408,0.500000,-0.300000
3.325327,-1.188383,0.500000,-0.300000
3.345361,-1.181459,0.500000,-0.300000
3.365396,-1.174682,0.500000,-0.300000
3.385430,-1.168099,0.500000,-0.300000
3.405464,-1.161738,0.500000,-0.300000
3.425498,-1.155493,0.500000,-0.300000
3.445532,-1.149194,0.500000,-0.300000
3.465566,-1.142668,0.500000,-0.300000
3.485601,-1.135744,0.500000,-0.300000
3.505635,-1.128250,0.500000,-0.300000
3.525669,-1.120016,0.500000,-0.300000
3.545703,-1.110964,0.500000,-0.300000
3.565737,-1.101549,0.500000,-0.300000
3.585771,-1.092412,0.500000,-0.300000
3.605806,-1.084191,0.500000,-0.300000
3.625840,-1.077528,0.500000,-0.300000
3.645874,-1.073060,0.500000,-0.300000
3.665908,-1.071429,0.500000,-0.300000
3.765908,-1.071429,0.500000,-0.300000
3.785942,-1.069797,0.500000,-0.300000
3.805976,-1.065330,0.500000,-0.300000
3.826010,-1.058666,0.500000,-0.300000
3.846045,-1.050445,0.500000,-0.300000
3.866079,-1.041308,0.500000,-0.300000
3.886113,-1.031893,0.500000,-0.300000
3.906147,-1.022841,0.500000,-0.300000
3.926181,-1.014607,0.500000,-0.300000
3.946215,-1.007114,0.500000,-0.300000
3.966250,-1.000190,0.500000,-0.300000
3.986284,-0.993663,0.500000,-0.300000
4.006318,-0.987364,0.500000,-0.300000
4.026352,-0.981119,0.500000,-0.300000
4.046386,-0.974758,0.500000,-0.300000
4.066420,-0.968175,0.500000,-0.300000
4.086455,-0.961398,0.500000,-0.300000
4.106489,-0.954474,0.500000,-0.300000
4.126523,-0.947449,0.500000,-0.300000
4.146557,-0.940369,0.500000,-0.300000
4.166591,-0.933280,0.500000,-0.300000
4.186625,-0.926228,0.500000,-0.300000
4.206660,-0.919236,0.500000,-0.300000
4.226694,-0.912296,0.500000,-0.300000
4.246728,-0.905392,0.500000,-0.300000
4.266762,-0.898513,0.500000,-0.300000
4.286796,-0.891645,0.500000,-0.300000
4.306830,-0.884775,0.500000,-0.300000
4.326865,-0.877890,0.500000,-0.300000
4.346899,-0.870985,0.500000,-0.300000
4.366933,-0.864067,0.500000,-0.300000
4.386967,-0.857143,0.500000,-0.300000
4.407001,-0.850218,0.500000,-0.300000
4.427035,-0.843301,0.500000,-0.300000
4.447070,-0.836396,0.500000,-0.300000
4.467104,-0.829511,0.500000,-0.300000
4.487138,-0.822640,0.500000,-0.300000
4.507172,-0.815772,0.500000,-0.300000
4.527206,-0.808893,0.500000,-0.300000
4.547240,-0.801990,0.500000,-0.300000
4.567274,-0.795049,0.500000,-0.300000
4.587309,-0.788058,0.500000,-0.300000
4.607343,-0.781006,0.500000,-0.300000
4.627377,-0.773917,0.500000,-0.300000
4.647411,-0.766837,0.500000,-0.300000
4.667445,-0.759812,0.500000,-0.300000
4.687479,-0.752887,0.500000,-0.300000
4.707514,-0.746111,0.500000,-0.300000
4.727548,-0.739527,0.500000,-0.300000
4.747582,-0.733167,0.500000,-0.300000
