% DOF: 3
% dt: 0.0200 s
% units: radians
% columns: time_s, joint_1, joint_2, joint_3
3.969488,-0.171721,0.403033,-0.103033
3.989512,-0.179254,0.407552,-0.107552
4.009537,-0.186739,0.412043,-0.112043
4.029561,-0.194189,0.416513,-0.116513
4.049586,-0.201615,0.420969,-0.120969
4.069610,-0.209030,0.425418,-0.125418
4.089635,-0.216446,0.429867,-0.129867
4.109659,-0.223875,0.434325,-0.134325
4.129684,-0.231324,0.438794,-0.138794
4.149708,-0.238788,0.443273,-0.143273
4.169732,-0.246262,0.447757,-0.147757
4.189757,-0.253738,0.452243,-0.152243
4.209781,-0.261212,0.456727,-0.156727
4.229806,-0.268676,0.461206,-0.161206
4.249830,-0.276125,0.465675,-0.165675
4.269855,-0.283554,0.470133,-0.170133
4.289879,-0.290970,0.474582,-0.174582
4.309904,-0.298385,0.479031,-0.179031
4.329928,-0.305811,0.483487,-0.183487
4.349953,-0.313261,0.487957,-0.187957
4.369977,-0.320746,0.492448,-0.192448
4.390002,-0.328279,0.496967,-0.196967
4.410026,-0.335871,0.501523,-0.201523
4.430051,-0.343515,0.506109,-0.206109
4.450075,-0.351170,0.510702,-0.210702
4.470100,-0.358793,0.515276,-0.215276
4.490124,-0.366342,0.519805,-0.219805
4.510149,-0.373774,0.524265,-0.224265
4.530173,-0.381047,0.528628,-0.228628
4.550198,-0.388118,0.532871,-0.232871
4.570222,-0.394967,0.536980,-0.236980
4.590247,-0.401707,0.541024,-0.241024
4.610271,-0.408497,0.545098,-0.245098
4.630296,-0.415496,0.549297,-0.249297
4.650320,-0.422861,0.553717,-0.253717
4.670345,-0.430752,0.558451,-0.258451
4.690369,-0.439327,0.563596,-0.263596
4.710394,-0.448733,0.569240,-0.269240
4.730418,-0.458786,0.575271,-0.275271
4.750443,-0.468914,0.581349,-0.281349
4.770467,-0.478528,0.587117,-0.287117
4.790492,-0.487035,0.592221,-0.292221
4.810516,-0.493843,0.596306,-0.296306
4.830541,-0.498362,0.599017,-0.299017
4.850565,-0.500000,0.600000,-0.300000
5.350565,-0.500000,0.600000,-0.300000
5.370590,-0.498362,0.599017,-0.299017
5.390614,-0.493843,0.596306,-0.296306
5.410639,-0.487035,0.592221,-0.292221
5.430663,-0.478528,0.587117,-0.287117
5.450688,-0.468914,0.581349,-0.281349
5.470712,-0.458786,0.575271,-0.275271
5.490737,-0.448733,0.569240,-0.269240
5.510761,-0.439327,0.563596,-0.263596
5.530786,-0.430752,0.558451,-0.258451
5.550810,-0.422861,0.553717,-0.253717
5.570834,-0.415496,0.549297,-0.249297
5.590859,-0.408497,0.545098,-0.245098
5.610883,-0.401707,0.541024,-0.241024
5.630908,-0.394967,0.536980,-0.236980
5.650932,-0.388118,0.532871,-0.232871
5.670957,-0.381047,0.528628,-0.228628
5.690981,-0.373774,0.524265,-0.224265
5.711006,-0.366342,0.519805,-0.219805
5.731030,-0.358793,0.515276,-0.215276
5.751055,-0.351170,0.510702,-0.210702
5.771079,-0.343515,0.506109,-0.206109
5.791104,-0.335871,0.501523,-0.201523
5.811128,-0.328279,0.496967,-0.196967
5.831153,-0.320746,0.492448,-0.192448
5.851177,-0.313261,0.487957,-0.187957
5.871202,-0.305811,0.483487,-0.183487
5.891226,-0.298385,0.479031,-0.179031
5.911251,-0.290970,0.474582,-0.174582
5.931275,-0.283554,0.470133,-0.170133
5.951300,-0.276125,0.465675,-0.165675
5.971324,-0.268676,0.461206,-0.161206
5.991349,-0.261212,0.456727,-0.156727
6.011373,-0.253738,0.452243,-0.152243
6.031398,-0.246262,0.447757,-0.147757
6.051422,-0.238788,0.443273,-0.143273
6.071447,-0.231324,0.438794,-0.138794
6.091471,-0.223875,0.434325,-0.134325
6.111496,-0.216446,0.429867,-0.129867
6.131520,-0.209030,0.425418,-0.125418
6.151545,-0.201615,0.420969,-0.120969
6.171569,-0.194189,0.416513,-0.116513
6.191594,-0.186739,0.412043,-0.112043
6.211618,-0.179254,0.407552,-0.107552
6.231643,-0.171721,0.403033,-0.103033
6.251667,-0.164129,0.398477,-0.098477
6.271692,-0.156485,0.393891,-0.093891
6.291716,-0.148830,0.389298,-0.089298
6.311741,-0.141207,0.384724,-0.084724
6.331765,-0.133658,0.380195,-0.080195
6.351790,-0.126226,0.375735,-0.075735
6.371814,-0.118953,0.371372,-0.071372
6.391839,-0.111882,0.367129,-0.067129
6.411863,-0.105033,0.363020,-0.063020
6.431888,-0.098293,0.358976,-0.058976
6.451912,-0.091503,0.354902,-0.054902
6.471937,-0.084504,0.350703,-0.050703
6.491961,-0.077139,0.346283,-0.046283
6.511985,-0.069248,0.341549,-0.041549
6.532010,-0.060673,0.336404,-0.036404
6.552034,-0.051267,0.330760,-0.030760
6.572059,-0.041214,0.324729,-0.024729
6.592083,-0.031086,0.318651,-0.018651
6.612108,-0.021472,0.312883,-0.012883
6.632132,-0.012965,0.307779,-0.007779
6.652157,-0.006157,0.303694,-0.003694
6.672181,-0.001638,0.300983,-0.000983
6.692206,-0.000000,0.300000,-0.000000
7.192206,0.000000,0.300000,0.000000
7.212409,0.001687,0.300211,-0.001055
7.232612,0.006429,0.300804,-0.004018
7.252815,0.013746,0.301718,-0.008591
7.273018,0.023156,0.302895,-0.014473
7.293221,0.034181,0.304273,-0.021363
7.313424,0.046339,0.305792,-0.028962
7.333627,0.059151,0.307394,-0.036969
7.353830,0.072136,0.309017,-0.045085
7.374033,0.084814,0.310602,-0.053009
7.394236,0.096735,0.312092,-0.060459
7.414439,0.107798,0.313475,-0.067374
7.434643,0.118129,0.314766,-0.073831
7.454846,0.127856,0.315982,-0.079910
7.475049,0.137107,0.317138,-0.085692
7.495252,0.146012,0.318251,-0.091257
7.515455,0.154699,0.319337,-0.096687
7.535658,0.163296,0.320412,-0.102060
7.555861,0.171934,0.321492,-0.107459
7.576064,0.180739,0.322592,-0.112962
7.596267,0.189778,0.323722,-0.118611
7.616470,0.199025,0.324878,-0.124391
7.636673,0.208446,0.326056,-0.130279
7.656876,0.218005,0.327251,-0.136253
7.677079,0.227668,0.328458,-0.142292
7.697282,0.237400,0.329675,-0.148375
7.717485,0.247167,0.330896,-0.154480
7.737688,0.256934,0.332117,-0.160584
7.757891,0.266667,0.333333,-0.166667
7.778094,0.276337,0.334542,-0.172711
7.798297,0.285948,0.335744,-0.178718
7.818500,0.295510,0.336939,-0.184694
7.838704,0.305032,0.338129,-0.190645
7.858907,0.314524,0.339316,-0.196578
7.879110,0.323997,0.340500,-0.202498
7.899313,0.333459,0.341682,-0.208412
7.919516,0.342922,0.342865,-0.214326
7.939719,0.352394,0.344049,-0.220246
7.959922,0.361886,0.345236,-0.226179
7.980125,0.371397,0.346425,-0.232123
8.000328,0.380923,0.347615,-0.238077
8.020531,0.390459,0.348807,-0.244037
8.040734,0.400000,0.350000,-0.250000
8.060937,0.409541,0.351193,-0.255963
8.081140,0.419077,0.352385,-0.261923
8.101343,0.428603,0.353575,-0.267877
8.121546,0.438114,0.354764,-0.273821
8.141749,0.447606,0.355951,-0.279754
8.161952,0.457078,0.357135,-0.285674
8.182155,0.466541,0.358318,-0.291588
8.202358,0.476003,0.359500,-0.297502
8.222561,0.485476,0.360684,-0.303422
8.242765,0.494968,0.361871,-0.309355
8.262968,0.504490,0.363061,-0.315306
8.283171,0.514052,0.364256,-0.321282
8.303374,0.523663,0.365458,-0.327289
8.323577,0.533333,0.366667,-0.333333
8.343780,0.543066,0.367883,-0.339416
8.363983,0.552833,0.369104,-0.345520
8.384186,0.562600,0.370325,-0.351625
8.404389,0.572332,0.371542,-0.357708
8.424592,0.581995,0.372749,-0.363747
8.444795,0.591554,0.373944,-0.369721
8.464998,0.600975,0.375122,-0.375609
8.485201,0.610222,0.376278,-0.381389
8.505404,0.619261,0.377408,-0.387038
8.525607,0.628066,0.378508,-0.392541
8.545810,0.636704,0.379588,-0.397940
8.566013,0.645301,0.380663,-0.403313
8.586216,0.653988,0.381749,-0.408743
8.606419,0.662893,0.382862,-0.414308
8.626623,0.672144,0.384018,-0.420090
8.646826,0.681871,0.385234,-0.426169
8.667029,0.692202,0.386525,-0.432626
8.687232,0.703265,0.387908,-0.439541
8.707435,0.715186,0.389398,-0.446991
8.727638,0.727864,0.390983,-0.454915
8.747841,0.740849,0.392606,-0.463031
8.768044,0.753661,0.394208,-0.471038
8.788247,0.765819,0.395727,-0.478637
8.808450,0.776844,0.397105,-0.485527
8.828653,0.786254,0.398282,-0.491409
8.848856,0.793571,0.399196,-0.495982
8.869059,0.798313,0.399789,-0.498945
8.889262,0.800000,0.400000,-0.500000
9.389262,0.800000,0.400000,-0.500000
9.409465,0.798313,0.399789,-0.498945
9.429668,0.793571,0.399196,-0.495982
9.449871,0.786254,0.398282,-0.491409
9.470074,0.776844,0.397105,-0.485527
9.490277,0.765819,0.395727,-0.478637
9.510480,0.753661,0.394208,-0.471038
9.530684,0.740849,0.392606,-0.463031
9.550887,0.727864,0.390983,-0.454915
9.571090,0.715186,0.389398,-0.446991
9.591293,0.703265,0.387908,-0.439541
9.611496,0.692202,0.386525,-0.432626
9.631699,0.681871,0.385234,-0.426169
9.651902,0.672144,0.384018,-0.420090
9.672105,0.662893,0.382862,-0.414308
9.692308,0.653988,0.381749,-0.408743
9.712511,0.645301,0.380663,-0.403313
9.732714,0.636704,0.379588,-0.397940
9.752917,0.628066,0.378508,-0.392541
9.773120,0.619261,0.377408,-0.387038
9.793323,0.610222,0.376278,-0.381389
9.813526,0.600975,0.375122,-0.375609
9.833729,0.591554,0.373944,-0.369721
9.853932,0.581995,0.372749,-0.363747
9.874135,0.572332,0.371542,-0.357708
9.894338,0.562600,0.370325,-0.351625
9.914542,0.552833,0.369104,-0.345520
9.934745,0.543066,0.367883,-0.339416
9.954948,0.533333,0.366667,-0.333333
9.975151,0.523663,0.365458,-0.327289
9.995354,0.514052,0.364256,-0.321282
10.015557,0.504490,0.363061,-0.315306
10.035760,0.494968,0.361871,-0.309355
10.055963,0.485476,0.360684,-0.303422
10.076166,0.476003,0.359500,-0.297502
10.096369,0.466541,0.358318,-0.291588
10.116572,0.457078,0.357135,-0.285674
10.136775,0.447606,0.355951,-0.279754
10.156978,0.438114,0.354764,-0.273821
10.177181,0.428603,0.353575,-0.267877
10.197384,0.419077,0.352385,-0.261923
10.217587,0.409541,0.351193,-0.255963
10.237790,0.400000,0.350000,-0.250000
10.257993,0.390459,0.348807,-0.244037
10.278196,0.380923,0.347615,-0.238077
10.298399,0.371397,0.346425,-0.232123
10.318603,0.361886,0.345236,-0.226179
10.338806,0.352394,0.344049,-0.220246
10.359009,0.342922,0.342865,-0.214326
10.379212,0.333459,0.341682,-0.208412
10.399415,0.323997,0.340500,-0.202498
10.419618,0.314524,0.339316,-0.196578
10.439821,0.305032,0.338129,-0.190645
10.460024,0.295510,0.336939,-0.184694
10.480227,0.285948,0.335744,-0.178718
10.500430,0.276337,0.334542,-0.172711
10.520633,0.266667,0.333333,-0.166667
10.540836,0.256934,0.332117,-0.160584
10.561039,0.247167,0.330896,-0.154480
10.581242,0.237400,0.329675,-0.148375
10.601445,0.227668,0.328458,-0.142292
10.621648,0.218005,0.327251,-0.136253
10.641851,0.208446,0.326056,-0.130279
10.662054,0.199025,0.324878,-0.124391
10.682257,0.189778,0.323722,-0.118611
10.702460,0.180739,0.322592,-0.112962
10.722664,0.171934,0.321492,-0.107459
10.742867,0.163296,0.320412,-0.102060
10.763070,0.154699,0.319337,-0.096687
10.783273,0.146012,0.318251,-0.091257
10.803476,0.137107,0.317138,-0.085692
10.823679,0.127856,0.315982,-0.079910
10.843882,0.118129,0.314766,-0.073831
10.864085,0.107798,0.313475,-0.067374
10.884288,0.096735,0.312092,-0.060459
10.904491,0.084814,0.310602,-0.053009
10.924694,0.072136,0.309017,-0.045085
10.944897,0.059151,0.307394,-0.036969
10.965100,0.046339,0.305792,-0.028962
10.985303,0.034181,0.304273,-0.021363
11.005506,0.023156,0.302895,-0.014473
11.025709,0.013746,0.301718,-0.008591
11.045912,0.006429,0.300804,-0.004018
11.066115,0.001687,0.300211,-0.001055
11.086318,0.000000,0.300000,-0.000000
11.586318,0.000000,0.300000,0.000000
11.606657,-0.001257,0.301676,-0.000419
11.626996,-0.004681,0.306241,-0.001560
11.647335,-0.009753,0.313003,-0.003251
11.667674,-0.015952,0.321269,-0.005317
11.688013,-0.022759,0.330346,-0.007586
11.708352,-0.029655,0.339540,-0.009885
11.728691,-0.036130,0.348173,-0.012043
11.749030,-0.041965,0.355953,-0.013988
11.769369,-0.047281,0.363041,-0.015760
11.789708,-0.052217,0.369623,-0.017406
11.810047,-0.056914,0.375885,-0.018971
11.830386,-0.061509,0.382013,-0.020503
11.850725,-0.066143,0.388191,-0.022048
11.871064,-0.070934,0.394579,-0.023645
11.891403,-0.075885,0.401180,-0.025295
11.911742,-0.080958,0.407944,-0.026986
