% DOF: 4
% dt: 0.0200 s
% units: radians
% columns: time_s, joint_1, joint_2, joint_3, joint_4
2.325211,0.277125,-1.715250,-1.689791,0.000000
2.345256,0.279926,-1.732587,-1.706871,0.000000
2.365301,0.282862,-1.750760,-1.724773,0.000000
2.385346,0.285941,-1.769817,-1.743548,0.000000
2.405391,0.289133,-1.789573,-1.763011,0.000000
2.425436,0.292390,-1.809732,-1.782870,0.000000
2.445481,0.295663,-1.829993,-1.802831,0.000000
2.465526,0.298905,-1.850059,-1.822599,0.000000
2.485571,0.302068,-1.869631,-1.841881,0.000000
2.505616,0.305102,-1.888411,-1.860381,0.000000
2.525661,0.307959,-1.906099,-1.877807,0.000000
2.545706,0.310593,-1.922398,-1.893864,0.000000
2.565750,0.312953,-1.937008,-1.908257,0.000000
2.585795,0.314993,-1.949631,-1.920693,0.000000
2.605840,0.316663,-1.959969,-1.930877,0.000000
2.625885,0.317916,-1.967723,-1.938516,0.000000
2.645930,0.318703,-1.972594,-1.943315,0.000000
2.665975,0.318976,-1.974284,-1.944980,0.000000
